"id","status","name","elevation","elevation_gain","rank_decimal","rank_percent","percentile"
"1","True","Mt. Marcy","5344","3166","1","100","1"
"2","False","Algonquin Peak","5114","2936","0.956961078","96","0.977"
"3","False","Mt. Haystack","4960","3570","0.928143713","93","0.955"
"4","False","Mt. Skylight","4926","4265","0.921781437","92","0.933"
"5","True","Whiteface Mtn.","4867","2535","0.910741018","91","0.911"
"6","False","Dix Mtn.","4857","2800","0.90886976","91","0.888"
"7","False","Gray Peak","4840","4178","0.905688623","91","0.844"
"8","False","Iroquois Peak","4840","3250","0.905688623","91","0.844"
"9","False","Basin Mtn.","4827","3650","0.903255988","90","0.822"
"10","True","Gothics","4736","4070","0.886227545","89","0.8"
"11","False","Mt. Colden","4714","2850","0.882110778","88","0.777"
"12","True","Giant Mtn.","4627","3050","0.865830838","87","0.755"
"13","False","Nippletop","4620","4050","0.864520958","86","0.733"
"14","False","Santanoni Peak","4607","2860","0.862088323","86","0.711"
"15","False","Mt. Redfield","4606","3225","0.861901198","86","0.688"
"16","False","Wright Peak","4580","2400","0.857035928","86","0.666"
"17","False","Saddleback Mtn.","4515","2990","0.844872754","84","0.644"
"18","False","Panther Peak","4442","3762","0.831212575","83","0.622"
"19","False","Tabletop Mtn.","4427","3660","0.828405689","83","0.6"
"20","False","Rocky Peak Ridge","4420","4500","0.827095808","83","0.577"
"21","False","Macomb Mtn.","4405","2344","0.824288922","82","0.555"
"22","True","Armstrong Mtn.","4400","3734","0.823353293","82","0.511"
"23","False","Hough Peak","4400","3200","0.823353293","82","0.511"
"24","False","Seward Mtn.","4361","3490","0.816055389","82","0.488"
"25","False","Mt. Marshall","4360","2575","0.815868263","82","0.466"
"26","False","Allen Mtn.","4340","2540","0.812125749","81","0.444"
"27","True","Big Slide Mtn.","4240","2800","0.793413174","79","0.4"
"28","True","Esther Mtn.","4240","3020","0.793413174","79","0.4"
"29","False","Upper Wolfjaw","4185","3619","0.783121257","78","0.377"
"30","True","Lower Wolfjaw","4175","2825","0.78125","78","0.355"
"31","False","Street Mtn.","4166","2115","0.779565868","78","0.333"
"32","True","Phelps Mtn.","4161","3394","0.77863024","78","0.311"
"33","False","Mt. Donaldson","4140","3490","0.774700599","77","0.288"
"34","False","Seymour Mtn.","4120","2370","0.770958084","77","0.266"
"35","False","Sawteeth","4100","2975","0.767215569","77","0.244"
"36","True","Cascade Mtn.","4098","1940","0.766841317","77","0.222"
"37","False","South Dix","4060","3050","0.759730539","76","0.2"
"38","True","Porter Mtn.","4059","2700","0.759543413","76","0.177"
"39","False","Mt. Colvin","4057","2130","0.759169162","76","0.155"
"40","False","Mt. Emmons","4040","3490","0.755988024","76","0.133"
"41","False","Dial Mtn.","4020","3450","0.752245509","75","0.111"
"42","False","Grace Peak","4012","3002","0.750748503","75","0.088"
"43","False","Blake","3960","3270","0.741017964","74","0.044"
"44","False","Cliff Mtn.","3960","2160","0.741017964","74","0.044"
"45","False","Nye Mtn.","3895","1844","0.72885479","73","0.022"
"46","False","Couchsachraga Peak","3829","3140","0.716504491","72","0"
